date,vehicles,method,event_count,scenario_count,visited_count,objective,nominal_objective,worst_case_objective,realized_recourse_value,expected_selected_reward,expected_recourse_cost,expected_remote_count,expected_handoff_count,expected_unresolved_count,positives_found,positives_total,positive_coverage,positives_per_patrol_hour,distance_km,lateness_hours,overtime_hours,vehicle_utilization,realized_remote_count,realized_handoff_count,realized_unresolved_count,realized_recourse_cost,runtime_seconds
2024-12-24,4,dro_recourse,40,32,30,10.777461,12.627226,10.777461,5.776445,12.917187,0.203906,1.0625,0.0,0.0,5.0,6,0.833333,0.160835,402.194121,0.0,0.003744,0.971493,1.0,0,0,0.1875,26.735034
2024-12-24,5,dro_recourse,40,32,36,10.93218,12.37307,10.93218,5.751352,12.604687,0.120469,0.65625,0.0,0.0,5.0,6,0.833333,0.128169,525.276993,0.0,0.004062,0.975277,1.0,0,0,0.1875,31.033848
2024-12-26,1,dro_recourse,40,32,6,-4.823734,-2.704359,-4.823734,1.62736,4.220313,6.677031,1.0,1.5,3.71875,2.0,4,0.5,0.245461,128.698343,0.0,0.147934,1.018492,1.0,1.0,0,0.625,6.283423
2024-12-26,2,dro_recourse,40,32,14,2.835126,4.591329,2.835126,1.285704,7.2,1.769375,2.0,1.875,0.3125,2.0,4,0.5,0.121008,238.194287,0.0,0.527771,1.032986,2.0,0,0,0.375,11.71899
2024-12-26,3,dro_recourse,40,32,21,7.993367,8.972227,7.993367,3.497617,9.579687,0.542578,2.15625,0.34375,0.0,3.0,4,0.75,0.127787,324.413583,0.0,0.0,0.978189,1.0,0,0,0.1875,17.612276
2024-12-26,4,dro_recourse,40,32,25,9.004402,11.091824,9.004402,3.404324,11.534375,0.284375,1.34375,0.03125,0.0,3.0,4,0.75,0.095616,471.885827,0.0,0.042532,0.980482,1.0,0,0,0.1875,22.409992
2024-12-26,5,dro_recourse,40,32,29,10.248797,11.941922,10.248797,3.443172,12.204687,0.143437,0.71875,0.0,0.0,3.0,4,0.75,0.078195,596.638648,0.0,0.0,0.959139,1.0,0,0,0.1875,27.26792
2024-12-31,1,dro_recourse,40,32,6,-3.790325,-2.102435,-3.790325,-8.3247,2.296875,4.374609,0.96875,1.421875,2.328125,2.0,11,0.181818,0.251887,123.501515,0.0,0.0,0.992508,1.0,1.5,6.5,10.75,4.118521
2024-12-31,2,dro_recourse,40,32,11,2.319685,3.131716,2.319685,5.510231,4.21875,1.034766,1.84375,1.46875,0.03125,6.0,11,0.545455,0.376088,261.342677,0.0,0.0,0.997107,2.0,3.0,0,1.6875,8.559348
2024-12-31,3,dro_recourse,40,32,17,3.505485,4.583391,3.505485,10.548,5.114063,0.453672,1.9375,0.1875,0.0,9.0,11,0.818182,0.376571,384.997624,0.0,0.0,0.995829,2.0,0,0,0.375,13.491162
2024-12-31,4,dro_recourse,40,32,21,4.195154,5.381373,4.195154,10.531138,5.864063,0.388828,2.0,0.0,0.0,9.0,11,0.818182,0.301693,469.309324,0.0,0.0,0.93224,2.0,0,0,0.375,19.213326
2024-12-31,5,dro_recourse,40,32,29,5.067171,6.325608,5.067171,11.947874,6.6875,0.247266,1.1875,0.0,0.0,10.0,11,0.909091,0.256284,573.129857,0.0,0.0,0.975481,1.0,0,0,0.1875,23.83363
